,name,short_name,lat_dec,lon_dec,trap_depth_m,ocean,upwelling,reference,data_source,min_size_micron,max_size_micron,duration_days,all_species_counted,taxonomy,remarks,water_depth_m,open,close,N_pachyderma,G_bulloides,T_quinqueloba,G_glutinata,O_universa,G_scitula,G_white,G_ruber,G_siphonifera,P_obliquiloculata,G_truncatulinoides,G_inflata,G_hirsuta,N_dutertrei,G_crassaformis,T_sacculifer,G_rubescens,G_conglobatus,G_falconensis,N_incompta,G_tenellus,G_menardii,G_tumida,G_theyeri,T_parkerae,G_ungulata,G_calida,G_hexagonus,T_humilis,D_anfracta,B_digitata,H_pelagica,T_fleisheri,T_iota,G_uvula,S_dehiscens,C_nitida,G_adamsi,H_digitata,G_conglomerata,B_pumilio
21,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,23/08/1992 00:00,12/09/1992 00:00,0,6.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,12/09/1992 00:00,02/10/1992 00:00,48.8,24,0,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,02/10/1992 00:00,22/10/1992 00:00,1358.819417,163.3553398,0,0,0,7.425242718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,22/10/1992 00:00,27/11/1992 00:00,69.07936508,89.9047619,8.126984127,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,27/11/1992 00:00,22/01/1993 00:00,46.41269841,30.15873016,5.46031746,43.68253968,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,22/01/1993 00:00,19/03/1993 00:00,272.9312169,34.11640212,0,41.98941799,0,5.248677249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,19/03/1993 00:00,08/04/1993 00:00,192,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,08/04/1993 00:00,28/04/1993 00:00,126.5777778,6.4,7.822222222,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,28/04/1993 00:00,18/05/1993 00:00,112.2133333,28.58666667,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Station Aleutian Basin,ABP,53.05,-177,3198,PAC,N,"Asahi, H., and Takahashi, K.: A 9-year time-series of planktonic foraminifer fluxes and environmental change in the Bering sea and the central subarctic Pacific Ocean, 1990-1999, Progress In Oceanography, 72, 343-363, http://dx.doi.org/10.1016/j.pocean.2006.03.021, 2007.",NA,125,1000,3265,Y,G. umbilicata changed to G. bulloides; G. wilesi changed to G. scitula,"99% of taxa counted. Pachyderma coiling directions not reported, but the paper mentions that left coiling makes up on average 98 % of this morphospecies",3788,18/05/1993 00:00,07/06/1993 00:00,369.9532468,113.787013,13.46493506,33.66233766,0,6.732467532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
